ans_idx,symptoms,persona,model_ans
0,思慮過度、心血不足,我最近睡得很差，腦子裡一直胡思亂想，停不下來，感覺心臟無力，氣血不足。,b
0,思慮過度、心悸虛煩,我最近睡得很差，腦子裡一直胡思亂想，停不下來，心臟也跳得很快，感覺很煩躁。,a
0,思慮過度、失眠神疲,我最近腦子一直轉個不停，想東想西，晚上睡不著，白天精神很差，很疲倦。,a
0,思慮過度、健忘,我最近睡得很差，腦子裡一直胡思亂想，停不下來。而且記性變得很差，常常忘記東西。,a
0,思慮過度、口舌生瘡,我最近睡得很差，腦子裡一直胡思亂想，停不下來。嘴巴破了好多洞，又痛又難受。,a
0,心血不足、思慮過度,我最近睡得很差，常常半夜醒來，而且醒來後就睡不著了。白天也容易疲倦、注意力不集中，感覺心神不寧，一直胡思亂想。,f
0,心血不足、心悸虛煩,我最近睡眠很差，常常心悸、心煩，感覺心臟跳得很無力，好像快跳不動了。,c
0,心血不足、失眠神疲,我最近睡得很差，常常半夜醒來就睡不著，白天也覺得很累，沒精神。,h
0,心血不足、健忘,我最近睡眠很差，常常半夜醒來，而且醒來後就睡不著了。白天精神很差，容易忘東忘西，感覺心臟無力。,a
0,心血不足、口舌生瘡,我最近睡眠很差，常常半夜醒來，而且醒來後心悸、盜汗，嘴巴破洞、舌頭也痛。,h
0,心悸虛煩、思慮過度,我最近睡得很差，心臟一直跳很快，感覺很煩躁，腦子裡一直胡思亂想，停不下來。,a
0,心悸虛煩、心血不足,我最近睡得很差，心臟一直跳很快，而且很煩躁，感覺心臟好像沒力氣一樣。,c
0,心悸虛煩、失眠神疲,我最近睡得很差，心臟一直跳很快，人也容易煩躁不安，晚上睡不著，白天精神很差。,c
0,心悸虛煩、健忘,我最近睡得很差，心臟老是怦怦跳，人也容易煩躁不安，記憶力也變差了，很多事情都記不住。,a
0,心悸虛煩、口舌生瘡,最近睡覺老是心悸、心煩，睡醒後嘴巴破洞、舌頭長瘡，整個人都很疲倦。,a
