start	end	text
0	2200	葡萄優遇對不對
2200	4400	綠色過多的話就過於陽看上
4400	6500	碎碎不早 當然會一直在失去
6500	8100	然後再就不一顆
8100	9500	就是虛弱身能的體質
9500	13100	或者泰德就是慢性疲癒症候群
13100	14500	護得才是好的
14500	16500	泰德就是壓力緊鬆
16500	17800	所以可以光說一下
17800	19300	在SDN下那怎樣
19300	22300	77代有說比較淺明一點
22300	24200	他不是說參習熬夜
24200	26000	他只是說可能那一天比較晚
26000	27400	睡覺才77
27400	29700	如果低於340以下的話
29700	31600	就是跟已經有一段時間
31600	33000	長期睡眠不好
33000	35000	所以像目前看起來
35000	38100	他是怎樣就屬於要睡眠較短一點點
38100	40900	然後看起來是有長期疲癢的一個狀況
40900	42900	應該是長期更有一點
42900	46500	玩手機比較晚睡覺的一個狀況
46500	48100	然後藍色比較多
48100	50600	代表說他想的事情比較多一點
50600	51500	然後
54000	55900	我們看一下
55900	57300	所以你看
57300	59400	為什麼你看他比較不如
59400	61300	我們上次有講說
61300	63000	藍色多的話代表說
63000	65300	想事情想的比較多對不對
65300	66700	阿班老事情比較多
66700	68600	就你看他那RRR是不是
68600	70300	很分散出去有沒有
70300	72300	就想太多了
72300	74400	所以造成說他比較偏向的
74400	76900	要屬於憂鬱的一個情形
76900	77400	好
77400	78800	所以說隨便你這邊
78800	80500	就是要把郭榮忠醫師
80500	82000	那個幾個配方
82000	84700	針對說他是想事情比較多
84700	85500	然後比較憂鬱
85500	89300	然後又往睡覺的一個概念
89300	90900	然後對應起來
90900	93800	可以提供說他可以用那幾個配方
93800	95300	我們配方可能只有一個
95300	97000	可能是他可以對應一個人
97000	98700	到造成現在要查
98700	99900	補心完什麼的一些
99900	101600	可能他有幾個
101600	102400	那幾個以後
102400	105300	在這對應郭榮忠醫師的相關問責
105300	106300	就可以這樣
106300	108400	原本說符合四個名項
108400	110300	又可以慢慢變成說
110300	111400	說練成兩個名項
111400	113000	正是一個名項
113000	114000	好不好
114000	115300	OK
115300	117500	那就下一個
118500	123500	剛好宣妮來
123500	124900	宣妮你的
124900	125300	好
125300	127500	我們看一下宣妮的部分
133100	133700	好
133700	137200	宣妮剛剛跟剛剛那一位同學又不一樣
137200	138400	有沒有看得到
138400	140600	剛剛那位同學是藍色比較多
140600	142800	宣妮是綠色比較多一點
142800	143300	好
143300	143500	好
143500	144100	我們來看
144100	146800	他宣妮一樣是SDN 77
146800	148700	左右就是這樣
148700	150400	宣妮那時候兩側之前
150400	154400	你一天晚上叫我睡覺的一個概念
154400	155900	RISD的話
155900	157500	現在講多多OK
157500	159100	然後BLF這些OK
159100	160900	我就講比較不OK的就是
160900	165800	HF跟TP都比較低有沒有
165800	166800	所以說你可以看
166800	169600	他LF證交款他是標準的
169600	171600	可是HF就是復交感
171600	172300	較少
172300	173300	比較弱一點
173300	176500	所以他宣妮會呈現的說屬於比較詳看
176500	180300	宣妮你睡覺是不是比較容易會作夢或想事情
180300	182900	比較慢怒眠
182900	184400	對不對
184400	185700	這種慢怒眠的話
185700	188100	郭醫師是不是就用造成逍遙
188100	189100	或是什麼
189100	190400	待會再推對應
190400	193800	然後學弟那邊要做對應票
193800	195300	然後他造成說
195300	197800	宣妮有一段時間生成睡眠
197800	199500	都比較晚怒眠
199500	200300	比較難怒眠
200300	201100	所以他造成說
201100	203700	他已經有眼清紋的慢性疲勞
203700	204700	會比較內一點
204700	207500	難性疲勞這麼恐怖的一個觀念度
207500	209700	那我們來看RRI的部分
209700	212400	我們來看宣妮的人格特徵
212400	214400	宣妮的人格特徵
214400	216400	小美老師可以幫我放大嗎
219500	221700	然後我們看
221700	223100	宣妮啊你看
223100	225400	你做事情啊
225400	226500	這一個部分
226500	229100	你會發覺到你有些事情很其中
229100	230800	做事情很仔細
230800	233400	可是你又想的事情比較多
233400	235400	會失去做比較多
235400	237100	這種就是有些人是很集中
237100	239500	就是他就是要求完美
239500	240600	但是他沒辦法
240600	242900	然後他也沒辦法想很多事情
242900	243800	另外一種
243800	246400	有一種就是想發散很多事情
246400	248400	可是當然沒辦法集中
248400	251400	第三種呢就是
251400	253500	宣妮這個就是
253500	254900	他腦海裡面
254900	257400	他對事情的看法很多事情
257400	258900	他是要求
258900	260000	他對於自我要求
260000	261300	很看得很細膩
261300	263300	可是他有很多事情
263300	264900	要做
264900	265700	是這樣子
265700	266600	還是失去很多
266600	268000	你有建議一些事情
268000	270500	還是參加社團還是什麼
270500	272600	會想得比較多一點
272600	273300	比較細心
273300	274100	細心
274100	278200	可是事情你會比較多一點
278200	279000	然後
279000	280500	所以說像這種部分
280500	281500	然後我們就會
281500	282600	你其實有些東西
282600	285800	你要有所舉手
285800	286800	或者你會變成說
286800	288700	你有感覺有時候會覺得卡關卡關
288700	290800	好多東西靠不過來
290800	291800	會這樣子對不對
291800	294700	太多事情了
294700	296100	你就可以幫你下吞
296100	298600	比較好一點
298600	302800	大致上HRP快速去解說是這樣子
302800	304800	然後郭榮忠醫師的部分
304800	306800	他就會可以再多問一些
306800	308800	然後宣妮當然能在現場
308800	310300	那就請郭榮忠醫師
310300	313200	就用上次問整的方式
313200	314100	郭醫師
314100	315600	就交給你再幫忙問一下
315600	317500	宣妮一些問問題
317500	318800	他也都問你什麼
318800	320600	還記得嗎
320600	323300	身高 體重
323300	324600	還有什麼
324600	326000	吃的狀況
326000	327200	喝水一樣好不好
327200	328200	這些你們要記起來
328200	329300	這個是AI物件裡面
329300	331000	基本要問的東西啊
331000	332700	上次你們不是有提嗎
332700	334700	該問的東西都要問
334700	335300	好不好郭醫師
335300	336300	來交給你了
336300	337600	接棒接棒
337600	338600	來
